Size,MergeSortTime,InsertionSortTime
46600,0.029058,1.93621
46650,0.02989,1.9421
46700,0.029871,1.93542
46750,0.029749,1.95151
46800,0.030107,1.9568
46850,0.029865,1.94783
46900,0.03016,1.96096
46950,0.030557,1.97152
47000,0.030013,1.9753
47050,0.029757,1.97956
47100,0.030204,1.98495
47150,0.029476,2.00194
47200,0.029649,1.99058
47250,0.029858,1.98875
47300,0.030282,1.99126
47350,0.030115,2.00085
47400,0.029464,2.00612
47450,0.030036,2.00996
47500,0.030665,2.01704
47550,0.030092,2.02079
47600,0.030567,2.02098
47650,0.030642,2.02122
47700,0.030131,2.03844
47750,0.030155,2.04221
47800,0.030173,2.03774
47850,0.03033,2.03737
47900,0.030618,2.05441
47950,0.030201,2.06413
48000,0.030518,2.06744
48050,0.030322,2.0552
48100,0.030487,2.06459
48150,0.030585,2.07024
48200,0.030673,2.07103
48250,0.030982,2.07781
48300,0.03032,2.08118
48350,0.030608,2.08872
48400,0.030913,2.0925
48450,0.030377,2.0949
48500,0.031321,2.09599
48550,0.030321,2.10936
48600,0.030774,2.1043
48650,0.030807,2.11844
48700,0.03162,2.1069
48750,0.030548,2.11662
48800,0.030667,2.12797
48850,0.030928,2.14412
48900,0.031569,2.14038
48950,0.031187,2.14256
49000,0.030968,2.14146
49050,0.030914,2.16908
49100,0.030832,2.15498
49150,0.031111,2.16527
49200,0.030929,2.16632
49250,0.030751,2.17212
49300,0.031801,2.17846
49350,0.031621,2.17432
49400,0.032527,2.17319
49450,0.031601,2.17637
49500,0.031003,2.18761
49550,0.03127,2.19592
49600,0.031064,2.19074
49650,0.031411,2.21213
49700,0.03112,2.20559
49750,0.031392,2.22594
49800,0.031514,2.21944
49850,0.031419,2.22544
49900,0.031409,2.23801
49950,0.031897,2.24099
50000,0.031492,2.23641
50050,0.032176,2.23369
50100,0.032515,2.24894
50150,0.031962,2.2557
50200,0.032217,2.2483
50250,0.031674,2.28785
50300,0.032469,2.27233
50350,0.032785,2.25958
50400,0.032147,2.27385
50450,0.032545,2.27495
50500,0.032507,2.28372
50550,0.032323,2.30288
50600,0.032544,2.30613
50650,0.032275,2.29829
50700,0.032834,2.31463
50750,0.033286,2.29912
50800,0.032987,2.29994
50850,0.032821,2.30497
50900,0.033336,2.31964
50950,0.032498,2.32205
51000,0.032003,2.33035
51050,0.032485,2.33664
51100,0.033579,2.33026
51150,0.03216,2.34685
51200,0.032459,2.35867
51250,0.033379,2.34764
51300,0.032672,2.3546
51350,0.032758,2.36502
51400,0.032689,2.36197
51450,0.033427,2.35651
51500,0.032718,2.37495
51550,0.033139,2.35691
51600,0.033094,2.38226
51650,0.032812,2.39502
51700,0.033135,2.40339
51750,0.03275,2.39646
51800,0.033033,2.39775
51850,0.032864,2.41249
51900,0.032922,2.41748
51950,0.033947,2.40442
52000,0.033137,2.43278
52050,0.033519,2.41954
52100,0.033153,2.41213
52150,0.032807,2.42462
52200,0.033713,2.43301
52250,0.033728,2.45609
52300,0.033858,2.44476
52350,0.033548,2.44967
52400,0.033689,2.46245
52450,0.033367,2.46182
52500,0.033364,2.468
52550,0.033571,2.47084
52600,0.033542,2.47989
52650,0.033653,2.4802
52700,0.033526,2.49749
52750,0.033549,2.47824
52800,0.034427,2.48719
52850,0.034201,2.49964
52900,0.034067,2.49171
52950,0.033752,2.51127
53000,0.034271,2.50399
53050,0.033504,2.51118
53100,0.034085,2.51465
53150,0.034216,2.53451
53200,0.034325,2.5368
53250,0.034389,2.53663
53300,0.03423,2.54758
53350,0.034556,2.53821
53400,0.034585,2.55013
